Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
277998,Hospitalisation,2015,January,Thursday,0,Hit pedestrian,Hit pedestrian,153.0037948,-27.45336357,Enoggera Tce,,Red Hill,Brisbane City,4059,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Red Hill (qld),Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted
278019,Hospitalisation,2015,January,Friday,19,Hit object,Single Vehicle,153.051459,-27.51973,South East Arterial Rd,,Holland Park West,Brisbane City,4121,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Holland Park West,Holland Park - Yeronga,Brisbane - South,Major cities,Yeerongpilly,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Darkness - Lighted
278020,Medical treatment,2015,January,Friday,17,Angle,Multi-Vehicle,152.955745,-27.517935,Centenary Hwy,Fig Tree Pocket Rd,Fig Tree Pocket,Brisbane City,4069,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Fig Tree Pocket,Kenmore - Brookfield - Moggill,Brisbane - West,Major cities,Indooroopilly,Ryan,State-controlled,Intersection - Interchange,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278021,Medical treatment,2015,January,Friday,9,Sideswipe,Multi-Vehicle,153.187014,-27.448242,Lower Esp,Upper Esplanade,Manly,Brisbane City,4179,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Manly - Lota,Wynnum - Manly,Brisbane - East,Major cities,Lytton,Bonner,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
278038,Medical treatment,2015,January,Saturday,18,Rear-end,Multi-Vehicle,152.982398,-27.53573,Oxley Rd,,Sherwood,Brisbane City,4075,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Sherwood,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk
278039,Hospitalisation,2015,January,Saturday,0,Angle,Multi-Vehicle,153.02481,-27.482266,Sidon St,Stanley St,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major cities,South Brisbane,Griffith,Locally-controlled,Bikeway,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278040,Medical treatment,2015,January,Saturday,16,Angle,Multi-Vehicle,153.03514,-27.486445,Gibbon St,Stanley St,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
278041,Medical treatment,2015,January,Saturday,11,Rear-end,Multi-Vehicle,153.028825,-27.37798,Gympie Arterial Rd,,Aspley,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major cities,Aspley,Lilley,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Wet,Clear,Daylight
278075,Medical treatment,2015,January,Monday,20,Angle,Multi-Vehicle,153.007764,-27.409218,East - West Arterial Rd,Shand St,Stafford,Brisbane City,4053,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Stafford,Chermside,Brisbane - North,Major cities,Stafford,Brisbane,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Darkness - Lighted
278076,Medical treatment,2015,January,Monday,10,Sideswipe,Multi-Vehicle,153.064688,-27.571934,Mccullough St,,Sunnybank,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Macgregor (qld),Mt Gravatt,Brisbane - South,Major cities,Sunnybank,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
